id_point,name,type,altitude,lat,lon,group
2722,Sommet de l'Oratoire,sommet,2071,44.29588,6.21224,0
1120,Tête de l'Estrop,sommet,2961,44.286226407564,6.50465726852417,0
5892,Sommet de l'Allier,sommet,1790,44.02184,6.45355,0
7146,Sommet de clavoune,sommet,1338,43.97606,6.41928,0
2067,Pointe Dufour-Dufourspitze (Mont Rose),sommet,4634,45.9367,7.8668,0
5951,Testa Grigia,sommet,3314,45.8307878066028,7.78664588928223,0
5969,La Ruinette,sommet,3875,45.9792,7.40046,0
5430,Mont Gelé,sommet,3518,45.9041,7.366,0
5663,Rochers du Bouc,sommet,3314,46.04308,7.37314,0
5401,Becca de Luseney,sommet,3504,45.8706,7.4913,0
5392,Nadelhorn,sommet,4327,46.109,7.8639,0
1111,Tieralplistock,sommet,3383,46.6331,8.3751,0
5993,Mont Brûlé,sommet,2572,46.0176480693734,7.20074415206909,0
6920,Castor,sommet,4228,45.92086,7.79331,0
5396,Zumsteinspitze (Pointe Zumstein),sommet,4563,45.93221,7.87144,0
3302,Le Veyou,sommet,1589,44.6365972625656,5.19963383674621,0
2124,Croix de Justin,sommet,988,44.7441,5.3505,0
3312,Roche Courbe,sommet,1545,44.64765,5.2008,0
3075,Mont-Barral,sommet,1903,44.7539,5.6247,0
1639,Le Jocou,sommet,2051,44.72419,5.6472,0
3068,La Pare,sommet,1862,44.65133,5.64176,0
3313,Le Signal,sommet,1559,44.6424067480905,5.20015954971313,0
3624,Mont Ventoux,sommet,1911,44.17377,5.27779,0
2832,Chamousset,sommet,2089,44.6558,5.7648,0
2377,Montagne d'Aujour,sommet,1834,44.4385,5.8488,0
3069,Toussière,sommet,1916,44.65548,5.65436,0
2376,Montagne d'Oule,sommet,1608,44.5136,5.8324,0
2038,Mont'Orfano,sommet,770,45.947,8.452,0
3443,Dent du chat,sommet,1390,45.6746,5.83329,0
3444,Molard Noir,sommet,1445,45.6716,5.82933,0
1336,Mont grèle,sommet,1450,45.5198,5.8157,0
3562,Croix de Provence,sommet,946,43.53099,5.57997,0
6498,Triglav,sommet,2864,46.3782460505394,13.8365507125855,0
3239,Piz Bernina,sommet,4049,46.38239,9.90812,0
3228,Pointe Joanne ou Monte Losetta,sommet,3052,44.68018,7.06273,0
3158,Mont de Salsa,sommet,3340,44.61994,6.96169,0
1679,Bric de Rubren / Mongiòia,sommet,3340,44.61976,6.95026,0
5659,Mont Orsiera,sommet,2890,45.0633366257552,7.10763931274414,0
2013,Mont-Viso,sommet,3841,44.6672,7.09,0
2064,Pain de Sucre,sommet,3208,44.6902,6.9971,0
2062,Bric-Froid,sommet,3302,44.8638,6.9318,0
2035,Mont-Meidassa,sommet,3105,44.7179,7.0727,0
5658,Mont Rocciavrè,sommet,2778,45.0484514143096,7.15952396392822,0
6945,Monte Chersogno,sommet,3026,44.52677,7.02014,0
6950,Pelvo d’Elva,sommet,3064,44.55721,7.02347,0
3195,Cima Pertega,sommet,2404,44.147277,7.679458,0
5900,Monte Pizzocolo,sommet,1581,45.6727267507819,10.5921351315556,0
5415,Weisskugel,sommet,3739,46.7979,10.7262,0
5416,Similaun,sommet,3606,46.76355,10.88082,0
6060,Heuberg,sommet,1338,47.7260926242635,12.1843421459198,0
