"x","place","code","lon","lat","ligne","arr","transit"
"http://fr.dbpedia.org/resource/Créteil_-_L'Échat_(métro_de_Paris)","Créteil - L'Échat",2505,2.44936,48.796,"15, 8","",2361971
"http://fr.dbpedia.org/resource/Gare_du_Nord_(métro_de_Paris)","Gare du Nord",2108,2.35493,48.8806,"4, 5","10",49977513
"http://fr.dbpedia.org/resource/Bréguet_-_Sabin_(métro_de_Paris)","Bréguet - Sabin",1214,2.37009,48.8561,"5","11",2038531
"http://fr.dbpedia.org/resource/Saint-François-Xavier_(métro_de_Paris)","Saint-François-Xavier",206,2.31448,48.852,"13","7",1837976
"http://fr.dbpedia.org/resource/Créteil_-_Préfecture_(métro_de_Paris)","Créteil - Préfecture",2507,2.45932,48.7798,"8","",4349228
"http://fr.dbpedia.org/resource/Maubert_-_Mutualité_(métro_de_Paris)","Maubert - Mutualité",106,2.34794,48.8502,"10","5",2631728
"http://fr.dbpedia.org/resource/Jasmin_(métro_de_Paris)","Jasmin",715,2.26786,48.8519,"9","16",2115456
"http://fr.dbpedia.org/resource/Le_Kremlin-Bicêtre_(métro_de_Paris)","Le Kremlin-Bicêtre",26,2.36185,48.8104,"7","",4428481
"http://fr.dbpedia.org/resource/Gambetta_(métro_de_Paris)","Gambetta",2410,2.39845,48.8649,"3, 3b","20",7445691
"http://fr.dbpedia.org/resource/Raspail_(métro_de_Paris)","Raspail",15,2.33061,48.8392,"4, 6","http://fr.dbpedia.org/resource/14e_arrondissement_de_Paris",1836323
"http://fr.dbpedia.org/resource/École_vétérinaire_de_Maisons-Alfort_(métro_de_Paris)","de Maisons-Alfort",25,2.42188,48.8152,"8","",3175166
"http://fr.dbpedia.org/resource/Quatre-Septembre_(métro_de_Paris)","Quatre-Septembre",604,2.33663,48.8696,"3","2",1758632
"http://fr.dbpedia.org/resource/Pasteur_(métro_de_Paris)","Pasteur",1602,2.31268,48.8428,"12, 6","15",5110865
"http://fr.dbpedia.org/resource/Picpus_(métro_de_Paris)","Picpus",509,2.40049,48.8452,"1, 6","12",1405460
"http://fr.dbpedia.org/resource/Charles_de_Gaulle_-_Étoile_(métro_de_Paris)","Charles de Gaulle - Étoile",1812,2.29576,48.8744,"1, 2, 6","8",9067635
"http://fr.dbpedia.org/resource/Rue_de_la_Pompe_(métro_de_Paris)","Rue de la Pompe",1713,2.27905,48.8639,"9","http://fr.dbpedia.org/resource/16e_arrondissement_de_Paris",3138962
"http://fr.dbpedia.org/resource/Ourcq_(métro_de_Paris)","Ourcq",22,2.38575,48.8869,"5","19",3792001
