,url,name,lon,lat,altitude,range,category,group,short_name,hint
143,http://fr.dbpedia.org/resource/Col_du_Mollard_(Chartreuse),Col du Mollard (Chartreuse),5.86722,45.4836,1320.0,Chartreuse,col,3,Col du Mollard,Chartreuse
144,http://fr.dbpedia.org/resource/Col_de_Bovinant,Col de Bovinant,5.81389,45.3847,1646.0,Chartreuse,col,2,Col de Bovinant,Chartreuse
145,http://fr.dbpedia.org/resource/Col_de_Léchaud,Col de Léchaud,5.80889,45.3872,1704.0,Chartreuse,col,3,Col de Léchaud,Chartreuse
146,http://fr.dbpedia.org/resource/Col_du_Frêt,Col du Frêt,5.81917,45.3867,1750.0,Chartreuse,col,3,Col du Frêt,Chartreuse
147,http://fr.dbpedia.org/resource/Col_de_Bassachaux,Col de Bassachaux,6.77222,46.2222,1778.0,Chablais,col,3,Col de Bassachaux,Chablais
148,http://fr.dbpedia.org/resource/Pas_de_Morgins,Pas de Morgins,6.84611,46.2494,1371.0,Chablais,col,3,Pas de Morgins,Chablais
149,http://fr.dbpedia.org/resource/Col_Saint-Roch,Col Saint-Roch,7.33833,43.8958,991.0,Préalpes de Nice,col,3,Col Saint-Roch,Préalpes de Nice
150,http://fr.dbpedia.org/resource/Col_de_Cabre_(Alpes),Col de Cabre,5.59833,44.5494,1180.0,Diois,col,3,Col de Cabre,Diois
151,http://fr.dbpedia.org/resource/Col_de_Chavan,Col de Chavan,6.55944,46.1772,1745.0,Chablais,col,3,Col de Chavan,Chablais
152,http://fr.dbpedia.org/resource/Col_de_Châteauneuf_de_Contes,Col de Châteauneuf de Contes,7.29306,43.8003,627.0,Préalpes de Nice,col,3,Col de Châteauneuf de Contes,Préalpes de Nice
153,http://fr.dbpedia.org/resource/Col_de_Vésinaz,Col de Vésinaz,6.575,46.1758,1802.0,Chablais,col,3,Col de Vésinaz,Chablais
154,http://fr.dbpedia.org/resource/Col_des_Arces,Col des Arces,6.49222,46.2683,1163.0,Chablais,col,3,Col des Arces,Chablais
