,name,lat,lon,population,country
509,Bishkek,42.8731,74.5852,837.0,Kyrgyzstan
510,Oslo,59.9167,10.75,835.0,Norway
511,Bangui,4.3666,18.5583,831.925,Central African Republic
512,Freetown,8.47,-13.2342,827.0,Sierra Leone
513,Islamabad,33.7,73.1666,780.0,Pakistan
514,Cotonou,6.4,2.52,762.0,Benin
515,Vientiane,17.9667,102.6,754.0,Laos
516,Riga,56.95,24.1,742.572,Latvia
517,Nouakchott,18.0864,-15.9753,742.144,Mauritania
518,Muscat,23.6133,58.5933,734.697,Oman
519,Ashgabat,37.95,58.3833,727.7,Turkmenistan
520,Zagreb,45.8,16.0,722.526,Croatia
521,Sarajevo,43.85,18.383,696.731,Bosnia And Herzegovina
522,Chisinau,47.005,28.8577,688.134,Moldova
523,Lilongwe,-13.9833,33.7833,646.75,Malawi
524,Asmara,15.3333,38.9333,620.802,Eritrea
525,Abu Dhabi,24.4667,54.3666,603.492,United Arab Emirates
526,Port Louis,-20.1666,57.5,595.491,Mauritius
527,Libreville,0.3854,9.458,578.156,Gabon
528,Manama,26.2361,50.5831,563.92,Bahrain
529,Vilnius,54.6834,25.3166,542.366,Lithuania
530,Skopje,42.0,21.4335,494.087,Macedonia
531,Bloemfontein,-29.12,26.2299,463.064,South Africa
532,Bratislava,48.15,17.117,423.737,Slovakia
533,Bissau,11.865,-15.5984,403.339,Guinea-Bissau
534,Tallinn,59.4339,24.728,394.024,Estonia
535,Wellington,-41.3,174.7833,393.4,New Zealand
536,Valletta,35.8997,14.5147,368.25,Malta
537,Maseru,-29.3167,27.4833,361.324,Lesotho
538,Nur-Sultan,51.1811,71.4278,345.604,Kazakhstan
539,Bujumbura,-3.3761,29.36,331.7,Burundi
540,Canberra,-35.283,149.129,327.7,Australia
541,New Delhi,28.6,77.2,317.797,India
542,Ljubljana,46.0553,14.515,314.807,Slovenia
543,Porto-Novo,6.4833,2.6166,300.0,Benin
544,Bandar Seri Begawan,4.8833,114.9333,296.5,Brunei
545,Port of Spain,10.652,-61.517,294.934,Trinidad And Tobago
546,Port Moresby,-9.4647,147.1925,283.733,Papua New Guinea
547,Bern,46.9167,7.467,275.329,Switzerland
548,Windhoek,-22.57,17.0835,268.132,Namibia
549,Georgetown,6.802,-58.167,264.35,Guyana
550,Paramaribo,5.835,-55.167,254.169,Suriname
551,Dili,-8.5594,125.5795,234.331,Timor-Leste
552,Nassau,25.0834,-77.35,227.94,"Bahamas, The"
553,Sucre,-19.041,-65.2595,224.838,Bolivia
554,Nicosia,35.1667,33.3666,224.3,Cyprus
555,Dodoma,-6.1833,35.75,218.269,Tanzania
556,Colombo,6.932,79.8578,217.0,Sri Lanka
557,Gaborone,-24.6463,25.9119,208.411,Botswana
