,name,population,lat,lon
255,OISILLY,0.1,47.416992177,5.36192344642
256,OUGES,1.2,47.2613998117,5.0782109526
257,ROILLY,0.0,47.4171745779,4.34078793389
258,SAINT-HELIER,0.0,47.389027921,4.68824509954
259,SAINT-MARTIN-DE-LA-MER,0.30000000000000004,47.2373074547,4.22929777568
260,SAINT-MARTIN-DU-MONT,0.4,47.4148513561,4.81194710404
261,SAINT-MAURICE-SUR-VINGEANNE,0.2,47.5793795925,5.39828562769
262,SAULON-LA-CHAPELLE,1.1,47.2106852941,5.09385756752
263,SAUSSEY,0.1,47.0636406891,4.60953530207
264,SAVOUGES,0.4,47.1806736269,5.05798309916
265,SOUHEY,0.1,47.4876530398,4.421356507
266,TART-LE-HAUT,1.4,47.1958586219,5.20512336576
267,THENISSEY,0.1,47.4964918792,4.61948858454
268,LA VILLENEUVE-LES-CONVERS,0.0,47.5761672449,4.59152552704
269,CHATELAUDREN,1.0,48.5398477577,-2.97194076452
270,GOUAREC,0.9,48.2358108068,-3.1953780576
271,HILLION,4.1,48.5029884697,-2.64614749418
272,LA MOTTE,2.0,48.2311050733,-2.70470655082
273,PAIMPOL,7.8,48.7733386239,-3.05459397042
274,PEUMERIT-QUINTIN,0.2,48.3635016654,-3.28335906879
275,PLAINE-HAUTE,1.4,48.4435359708,-2.85882396738
276,PLEHEDEL,1.3,48.6949303191,-3.00638352485
277,SAINT-GILLES-PLIGEAUX,0.30000000000000004,48.3796644952,-3.08710992512
278,SAINT-MAYEUX,0.5,48.2645956467,-3.01553906728
279,TRAMAIN,0.6000000000000001,48.3998800442,-2.38881241338
280,TREGROM,0.4,48.5946464284,-3.40266097261
281,TREVRON,0.7000000000000001,48.389428188,-2.06825084533
282,ARRENES,0.2,46.0724415399,1.56731050759
283,BLAUDEIX,0.1,46.2296903027,2.08515076921
284,BUSSIERE-SAINT-GEORGES,0.2,46.4017907068,2.1551143589
285,LA CELLETTE,0.30000000000000004,46.4013328197,2.00952314466
286,CROZANT,0.5,46.3822860468,1.61270659121
287,NOUHANT,0.30000000000000004,46.287074332,2.39209394225
288,PONTARION,0.4,45.9957082481,1.84611482202
289,SANNAT,0.4,46.1229856338,2.41539962939
